Measures,State,Year of Year,Values
Vehicles,Alaska,2010,"710,444"
Vehicles,Alaska,2020,"792,826"
Vehicles,Alaska,2016,"794,614"
Vehicles,Alaska,2019,"795,275"
Vehicles,Alaska,2018,"803,684"
Vehicles,Alaska,2017,"804,505"
Vehicles,Alaska,2015,"815,122"
Vehicles,Arizona,2010,"4,320,010"
Vehicles,Arizona,2015,"5,630,647"
Vehicles,Arizona,2016,"5,786,891"
Vehicles,Arizona,2018,"5,806,313"
Vehicles,Arizona,2017,"5,964,434"
Vehicles,Arizona,2019,"5,982,559"
Vehicles,Arizona,2020,"6,053,781"
Vehicles,Arizona,2021,"6,064,542"
Vehicles,Arizona,2022,"6,090,179"
Vehicles,Arizona,2023,"6,529,000"
Vehicles,Arkansas,2010,"2,073,410"
Vehicles,Arkansas,2023,"2,708,300"
Vehicles,Arkansas,2015,"2,772,214"
Vehicles,Arkansas,2016,"2,808,138"
Vehicles,Arkansas,2018,"2,817,145"
Vehicles,Arkansas,2017,"2,833,697"
Vehicles,Arkansas,2019,"2,902,111"
Vehicles,Arkansas,2020,"2,913,369"
Vehicles,Arkansas,2021,"3,555,142"
Vehicles,Arkansas,2022,"3,569,698"
Vehicles,California,2015,"29,424,012"
Vehicles,California,2016,"30,221,033"
Vehicles,California,2020,"30,398,249"
Vehicles,California,2017,"30,795,141"
Vehicles,California,2010,"31,014,130"
Vehicles,California,2018,"31,022,328"
Vehicles,California,2022,"31,119,113"
Vehicles,California,2019,"31,247,270"
Vehicles,California,2021,"31,349,073"
Vehicles,California,2023,"36,850,300"
Vehicles,Colorado,2010,"4,180,300"
Vehicles,Colorado,2015,"5,005,172"
Vehicles,Colorado,2021,"5,096,394"
Vehicles,Colorado,2016,"5,116,341"
Vehicles,Colorado,2022,"5,116,858"
